Equipo,Fecha N°,Fecha,Hora,Rival,Estadio,Goles Local,Goles Visita,Resultado,Aforo Autorizado,Público Controlado,% Ocupación,Precio Más Bajo (CLP)
Colo-Colo,Fecha 3,03/03/2024,18:00,Huachipato,Estadio Monumental,2,0,Victoria,32000,,-,
Colo-Colo,Fecha 4,10/03/2024,18:00,Universidad de Chile,Estadio Monumental,0,1,Derrota,32000,,-,
Colo-Colo,Fecha 6,30/03/2024,18:00,Everton,Estadio Monumental,4,1,Victoria,30000,,-,
Colo-Colo,Fecha 8,15/04/2024,20:30,Cobreloa,Estadio Monumental,0,2,Derrota,35000,,-,
Colo-Colo,Fecha 10,28/04/2024,18:00,Unión La Calera,Estadio Monumental,3,1,Victoria,30000,,-,
Colo-Colo,Fecha 13,19/05/2024,17:30,Palestino,Estadio Monumental,2,0,Victoria,35000,,-,
Colo-Colo,Fecha 15,02/06/2024,17:30,Deportes Copiapó,Estadio Monumental,0,1,Derrota,30000,,-,
Colo-Colo,Fecha 16,21/07/2024,17:30,Unión Española,Estadio Monumental,2,1,Victoria,35000,,-,
Colo-Colo,Fecha 18,03/08/2024,15:00,O'Higgins,Estadio Monumental,0,0,Empate,30000,,-,
Colo-Colo,Fecha 20,18/08/2024,15:00,Coquimbo Unido,Estadio Monumental,2,0,Victoria,35000,,-,
Colo-Colo,Fecha 21,25/08/2024,15:00,Everton,Estadio Monumental,1,0,Victoria,30000,,-,
Colo-Colo,Fecha 24,15/09/2024,15:00,Universidad Católica,Estadio Monumental,1,0,Victoria,42000,,-,
Colo-Colo,Fecha 26,28/09/2024,20:00,Cobresal,Estadio Monumental,2,0,Victoria,35000,,-,
Colo-Colo,Fecha 27,06/10/2024,20:00,Audax Italiano,Estadio Monumental,2,1,Victoria,38000,,-,
Colo-Colo,Fecha 29,03/11/2024,18:00,Deportes Iquique,Estadio Monumental,3,0,Victoria,42000,,-,
Universidad de Chile,Fecha 2,24/02/2024,18:00,Audax Italiano,Estadio Nacional,1,0,Victoria,35000,,-,
Universidad de Chile,Fecha 1,25/03/2024,19:00,Cobresal,Estadio Nacional,2,2,Empate,40000,,-,
Universidad de Chile,Fecha 5,16/03/2024,18:00,O'Higgins,Estadio Nacional,1,0,Victoria,35000,,-,
Universidad de Chile,Fecha 7,07/04/2024,20:00,Unión Española,Estadio Nacional,1,0,Victoria,40000,,-,
Universidad de Chile,Fecha 8,14/04/2024,12:30,Coquimbo Unido,Estadio Nacional,1,1,Empate,45000,,-,
Universidad de Chile,Fecha 11,05/05/2024,17:30,Deportes Iquique,Estadio Nacional,2,2,Empate,45000,,-,
Universidad de Chile,Fecha 13,18/05/2024,17:30,Universidad Católica,Estadio Nacional,1,2,Derrota,45000,,-,
Universidad de Chile,Fecha 14,26/05/2024,17:30,Ñublense,Estadio Nacional,0,0,Empate,40000,,-,
Universidad de Chile,Fecha 17,28/07/2024,17:30,Audax Italiano,Estadio Nacional,1,0,Victoria,38000,,-,
Universidad de Chile,Fecha 19,10/08/2024,15:00,Colo-Colo,Estadio Nacional,0,0,Empate,45000,,-,
Universidad de Chile,Fecha 21,23/08/2024,18:00,Cobreloa,Estadio Nacional,4,0,Victoria,40000,,-,
Universidad de Chile,Fecha 22,27/08/2024,18:00,Unión Española,Estadio Nacional,2,0,Victoria,35000,,-,
Universidad de Chile,Fecha 24,15/09/2024,17:30,Palestino,Estadio Nacional,1,0,Victoria,42000,,-,
Universidad de Chile,Fecha 27,05/10/2024,17:30,Unión La Calera,Estadio Nacional,1,0,Victoria,42000,,-,
Universidad de Chile,Fecha 30,10/11/2024,16:00,Everton,Estadio Nacional,1,1,Empate,45000,,-,
Universidad Católica,Fecha 2,23/02/2024,19:00,Ñublense,Estadio Santa Laura,0,1,Derrota,12000,,-,
Universidad Católica,Fecha 4,11/03/2024,19:00,Everton,Estadio Santa Laura,2,4,Derrota,12000,,-,
Universidad Católica,Fecha 5,17/03/2024,20:30,Audax Italiano,Estadio Santa Laura,0,0,Empate,10000,,-,
Universidad Católica,Fecha 7,06/04/2024,17:30,Cobresal,Estadio Santa Laura,2,0,Victoria,12000,,-,
Universidad Católica,Fecha 9,20/04/2024,17:30,Colo-Colo,Estadio Santa Laura,0,1,Derrota,15000,,-,
Universidad Católica,Fecha 12,11/05/2024,17:30,O'Higgins,Estadio Santa Laura,3,2,Victoria,12000,,-,
Universidad Católica,Fecha 14,25/05/2024,17:30,Cobreloa,Estadio Santa Laura,4,1,Victoria,13000,,-,
Universidad Católica,Fecha 16,20/07/2024,17:30,Unión La Calera,Estadio Santa Laura,2,0,Victoria,12000,,-,
Universidad Católica,Fecha 18,03/08/2024,20:00,Palestino,Estadio Santa Laura,1,1,Empate,12000,,-,
Universidad Católica,Fecha 20,18/08/2024,17:30,Audax Italiano,Estadio Santa Laura,2,1,Victoria,12000,,-,
Universidad Católica,Fecha 22,28/08/2024,20:30,Cobresal,Estadio Santa Laura,3,1,Victoria,10000,,-,
Universidad Católica,Fecha 23,31/08/2024,17:30,Iquique,Estadio Santa Laura,2,2,Empate,12000,,-,
Universidad Católica,Fecha 25,25/09/2024,20:30,Deportes Copiapó,Estadio Bicentenario La Florida,4,1,Victoria,9000,,-,
Universidad Católica,Fecha 28,19/10/2024,18:00,Universidad de Chile,Estadio Santa Laura,1,2,Derrota,15000,,-,
Universidad Católica,Fecha 30,10/11/2024,16:00,Coquimbo Unido,Estadio Santa Laura,1,2,Derrota,12000,,-,
