Equipo,Fecha N°,Fecha,Hora,Rival,Estadio,Goles Local,Goles Visita,Resultado,Aforo Autorizado,Público Controlado,% Ocupación,Precio Más Bajo (CLP),Puntos
Colo-Colo,Fecha 2,2025-02-24 00:00:00,20.00,O'Higgins,Estadio Monumental,0,1,Derrota,35000,,-,,
Colo-Colo,Fecha 4,2025-02-09 00:00:00,20.30,Everton,Estadio Monumental,2,0,Victoria,35000,,-,,
Colo-Colo,Fecha 6,2025-03-27 00:00:00,18.15,Palestino,Estadio Monumental,1,1,Empate,35000,,-,,
Colo-Colo,Fecha 9,2025-04-26 00:00:00,20.00,Coquimbo Unido,Estadio Monumental,2,0,Victoria,42000,,-,,
Colo-Colo,Fecha 11,2025-05-19 00:00:00,18.00,Ñublense,Estadio Monumental,2,2,Empate,35000,,-,,
Colo-Colo,Fecha 12,2025-05-24 00:00:00,17.30,Unión Española,Estadio Monumental,4,1,Victoria,35000,,-,,
Colo-Colo,Fecha 14,2025-06-17 00:00:00,18.00,Cobresal,Estadio Monumental,4,0,Victoria,35000,,-,,
Colo-Colo,Fecha 16,2025-07-19 00:00:00,15.00,Deportes La Serena,Estadio Monumental,2,1,Victoria,38000,,-,,
Colo-Colo,Fecha 18,2025-08-03 00:00:00,15.00,Huachipato,Estadio Monumental,2,2,Empate,42000,,-,,
Colo-Colo,Fecha 20,2025-08-16 00:00:00,15.00,Universidad Católica,Estadio Monumental,1,4,Derrota,35000,,-,,
Colo-Colo,Fecha 22,2025-08-31 00:00:00,15.00,Universidad de Chile,Estadio Monumental,1,0,Victoria,35000,,-,,
Colo-Colo,Fecha 23,2025-09-26 00:00:00,19.00,Deportes Iquique,Estadio Monumental,4,0,Victoria,35000,,-,,
Colo-Colo,Fecha 25,2025-10-27 00:00:00,18.00,Deportes Limache,Estadio Monumental,2,2,Empate,35000,,-,,
Colo-Colo,Fecha 30,2025-12-07 00:00:00,18.00,Audax Italiano,Estadio Monumental,1,2,Derrota,35000,,-,,
Universidad de Chile,Fecha 1,2025-02-15 00:00:00,20.30,Ñublense,Estadio Nacional,5,0,Victoria,40000,-,-,12000,3
